data_source_code,external_ref,nutrient_code,amount_per_100g,unit,method,sample_count,min_amount,max_amount,notes
usda_fdc_sr_legacy,169229,calcium_mg,6.0,mg,imported,18,5,9,A: Analytical
usda_fdc_sr_legacy,169229,carbohydrate_g,8.73,g,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,169229,cholesterol_mg,0.0,mg,imported,0,,,"Z: Assumed zero (Insignificant amount or not naturally occurring in a food, such as fiber in meat)"
usda_fdc_sr_legacy,169229,energy_kcal,35.0,kcal,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,169229,energy_kj,147.0,kJ,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,169229,fat_g,0.23,g,imported,2,,,
usda_fdc_sr_legacy,169229,fat_mono_g,0.02,g,imported,0,,,
usda_fdc_sr_legacy,169229,fat_poly_g,0.093,g,imported,0,,,
usda_fdc_sr_legacy,169229,fat_sat_g,0.044,g,imported,0,,,
usda_fdc_sr_legacy,169229,fiber_g,2.5,g,imported,0,,,
usda_fdc_sr_legacy,169229,folate_ug,14.0,ug,imported,0,,,
usda_fdc_sr_legacy,169229,iron_mg,0.25,mg,imported,18,0.17,0.36,A: Analytical
usda_fdc_sr_legacy,169229,magnesium_mg,11.0,mg,imported,21,8,20,JA: Aggregated data involving combinations of data with only source codes 1 and 12 and/or 13
usda_fdc_sr_legacy,169229,niacin_mg,0.6,mg,imported,0,,,
usda_fdc_sr_legacy,169229,phosphorus_mg,15.0,mg,imported,18,10,21,A: Analytical
usda_fdc_sr_legacy,169229,potassium_mg,123.0,mg,imported,18,93,175,A: Analytical
usda_fdc_sr_legacy,169229,protein_g,0.83,g,imported,3,,,
usda_fdc_sr_legacy,169229,riboflavin_mg,0.02,mg,imported,0,,,
usda_fdc_sr_legacy,169229,sodium_mg,1.0,mg,imported,18,0,2,A: Analytical
usda_fdc_sr_legacy,169229,sugars_g,3.2,g,imported,0,,,BFSN: Based on another form of the food or similar food; Concentration adjustment; Solids; Retention factors not used
usda_fdc_sr_legacy,169229,thiamin_mg,0.076,mg,imported,0,,,
usda_fdc_sr_legacy,169229,vitamin_a_rae_ug,2.0,ug,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,169229,vitamin_b12_ug,0.0,ug,imported,0,,,"Z: Assumed zero (Insignificant amount or not naturally occurring in a food, such as fiber in meat)"
usda_fdc_sr_legacy,169229,vitamin_b6_mg,0.086,mg,imported,0,,,
usda_fdc_sr_legacy,169229,vitamin_c_mg,1.3,mg,imported,0,,,
usda_fdc_sr_legacy,169229,vitamin_d_ug,0.0,ug,imported,0,,,"Z: Assumed zero (Insignificant amount or not naturally occurring in a food, such as fiber in meat)"
usda_fdc_sr_legacy,169229,vitamin_e_mg,0.41,mg,imported,0,,,BFSN: Based on another form of the food or similar food; Concentration adjustment; Solids; Retention factors not used
usda_fdc_sr_legacy,169229,vitamin_k_ug,2.9,ug,imported,1,,,
usda_fdc_sr_legacy,169229,water_g,89.67,g,imported,6,88.4,91.1,
usda_fdc_sr_legacy,169229,zinc_mg,0.12,mg,imported,21,0.06,0.27,JA: Aggregated data involving combinations of data with only source codes 1 and 12 and/or 13
usda_fdc_sr_legacy,169230,ash_g,1.5,g,imported,0,,,
usda_fdc_sr_legacy,169230,calcium_mg,181.0,mg,imported,8,,,
usda_fdc_sr_legacy,169230,carbohydrate_g,33.06,g,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,169230,cholesterol_mg,0.0,mg,imported,0,,,"Z: Assumed zero (Insignificant amount or not naturally occurring in a food, such as fiber in meat)"
usda_fdc_sr_legacy,169230,energy_kcal,149.0,kcal,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,169230,energy_kj,623.0,kJ,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,169230,fat_g,0.5,g,imported,1,,,
usda_fdc_sr_legacy,169230,fat_mono_g,0.011,g,imported,0,,,
usda_fdc_sr_legacy,169230,fat_poly_g,0.249,g,imported,0,,,
usda_fdc_sr_legacy,169230,fat_sat_g,0.089,g,imported,0,,,
usda_fdc_sr_legacy,169230,fiber_g,2.1,g,imported,0,,,
usda_fdc_sr_legacy,169230,folate_ug,3.0,ug,imported,0,,,
usda_fdc_sr_legacy,169230,iron_mg,1.7,mg,imported,1,,,
usda_fdc_sr_legacy,169230,magnesium_mg,25.0,mg,imported,8,,,
usda_fdc_sr_legacy,169230,niacin_mg,0.7,mg,imported,1,,,
usda_fdc_sr_legacy,169230,phosphorus_mg,153.0,mg,imported,8,,,
usda_fdc_sr_legacy,169230,potassium_mg,401.0,mg,imported,8,,,
usda_fdc_sr_legacy,169230,protein_g,6.36,g,imported,8,,,
usda_fdc_sr_legacy,169230,riboflavin_mg,0.11,mg,imported,1,,,
usda_fdc_sr_legacy,169230,sodium_mg,17.0,mg,imported,8,,,
usda_fdc_sr_legacy,169230,sugars_g,1.0,g,imported,0,,,T: Taken from another source--other tables of food composition
usda_fdc_sr_legacy,169230,thiamin_mg,0.2,mg,imported,1,,,
usda_fdc_sr_legacy,169230,vitamin_a_rae_ug,0.0,ug,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,169230,vitamin_b12_ug,0.0,ug,imported,0,,,"Z: Assumed zero (Insignificant amount or not naturally occurring in a food, such as fiber in meat)"
usda_fdc_sr_legacy,169230,vitamin_b6_mg,1.235,mg,imported,0,,,
usda_fdc_sr_legacy,169230,vitamin_c_mg,31.2,mg,imported,11,,,
